model,category,idIndex,primaryid,collision,transient override,lobmodel,viewmodel,worldmat,viewmat,group1,group2,group3,group4,group5,group6,group7,group8,productionLevel
mp_pants_m_03x_p,pants,11,16,1,,mp_pants_m_03x_p_lob,,m/mtl_mp_pants_01x,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_07x_s,pants,11,16,1,,mp_pants_m_07x_s_lob,,m/mtl_mp_pants_01x,,!kneepads,shinguard,!female,,,,,,
mp_pants_m_77a_k,pants,12,17,1,,mp_pants_m_77a_k_lob,,,,kneepads,!shinguard,!female,,,,,,
mp_pants_f_77a_k,pants,12,17,1,,mp_pants_f_77a_k_lob,,m/mtl_mp_pants_77a,,kneepads,!shinguard,female,,,,,,
mp_pants_f_77a_p,pants,12,17,1,,mp_pants_f_77a_p_lob,,m/mtl_mp_pants_77a,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_77a_s,pants,12,17,1,,mp_pants_f_77a_s_lob,,m/mtl_mp_pants_77a,,!kneepads,shinguard,female,,,,,,
mp_pants_m_77a_p,pants,12,17,1,,mp_pants_m_77a_p_lob,,m/mtl_mp_pants_77a,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_77a_s,pants,12,17,1,,mp_pants_m_77a_s_lob,,m/mtl_mp_pants_77a,,!kneepads,shinguard,!female,,,,,,
mp_pants_f_16di_s,pants,13,18,1,,mp_pants_f_16di_s_lob,,m/mtl_mp_pants_17di,,!kneepads,shinguard,female,,,,,,
mp_pants_f_17di_p,pants,13,18,1,,mp_pants_f_17di_p_lob,,m/mtl_mp_pants_17di,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_18di_k,pants,13,18,1,,mp_pants_f_18di_k_lob,,m/mtl_mp_pants_17di,,kneepads,!shinguard,female,,,,,,
mp_pants_m_16di_s,pants,13,18,1,,mp_pants_m_16di_s_lob,,m/mtl_mp_pants_17di,,!kneepads,shinguard,!female,,,,,,
mp_pants_m_17di_p,pants,13,18,1,,mp_pants_m_17di_p_lob,,m/mtl_mp_pants_17di,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_18di_k,pants,13,18,1,,mp_pants_m_18di_k_lob,,m/mtl_mp_pants_17di,,kneepads,!shinguard,!female,,,,,,
mp_pants_f_10i_s,pants,14,19,1,,mp_pants_f_10i_s_lob,,m/mtl_mp_pants_10i,,!kneepads,shinguard,female,,,,,,
mp_pants_f_11i_p,pants,14,19,1,,mp_pants_f_11i_p_lob,,m/mtl_mp_pants_10i,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_12i_k,pants,14,19,1,,mp_pants_f_12i_k_lob,,m/mtl_mp_pants_10i,,kneepads,!shinguard,female,,,,,,
mp_pants_m_10i_s,pants,14,19,1,,mp_pants_m_10i_s_lob,,m/mtl_mp_pants_10i,,!kneepads,shinguard,!female,,,,,,
mp_pants_m_11i_p,pants,14,19,1,,mp_pants_m_11i_p_lob,,m/mtl_mp_pants_10i,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_12i_k,pants,14,19,1,,mp_pants_m_12i_k_lob,,m/mtl_mp_pants_10i,,kneepads,!shinguard,!female,,,,,,
mp_pants_f_78_k,pants,15,20,1,,mp_pants_f_78_k_lob,,m/mtl_mp_pants_78a,,kneepads,!shinguard,female,,,,,,
mp_pants_f_78_p,pants,15,20,1,,mp_pants_f_78_p_lob,,m/mtl_mp_pants_78a,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_78_s,pants,15,20,1,,mp_pants_f_78_s_lob,,m/mtl_mp_pants_78a,,!kneepads,shinguard,female,,,,,,
mp_pants_m_78_k,pants,15,20,1,,mp_pants_m_78_k_lob,,m/mtl_mp_pants_78a,,kneepads,!shinguard,!female,,,,,,
mp_pants_m_78_p,pants,15,20,1,,mp_pants_m_78_p_lob,,m/mtl_mp_pants_78a,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_78_s,pants,15,20,1,,mp_pants_m_78_s_lob,,m/mtl_mp_pants_78a,,!kneepads,shinguard,!female,,,,,,
mp_pants_f_76c_k,pants,16,21,1,,mp_pants_f_76c_k_lob,,m/mtl_mp_pants_76c,,kneepads,!shinguard,female,,,,,,
mp_pants_f_76c_p,pants,16,21,1,,mp_pants_f_76c_p_lob,,m/mtl_mp_pants_76c,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_76c_s,pants,16,21,1,,mp_pants_f_76c_s_lob,,m/mtl_mp_pants_76c,,!kneepads,shinguard,female,,,,,,
mp_pants_m_76c_k,pants,16,21,1,,mp_pants_m_76c_k_lob,,m/mtl_mp_pants_76c,,kneepads,!shinguard,!female,,,,,,
mp_pants_m_76c_p,pants,16,21,1,,mp_pants_m_76c_p_lob,,m/mtl_mp_pants_76c,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_76c_s,pants,16,21,1,,mp_pants_m_76c_s_lob,,m/mtl_mp_pants_76c,,!kneepads,shinguard,!female,,,,,,
mp_pants_f_13dsco_s,pants,17,22,1,,mp_pants_f_13dsco_s_lob,,m/mtl_mp_pants_14dsco,,!kneepads,shinguard,female,,,,,,
mp_pants_f_14dsco_p,pants,17,22,1,,mp_pants_f_14dsco_p_lob,,m/mtl_mp_pants_14dsco,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_15dsco_k,pants,17,22,1,,mp_pants_f_15dsco_k_lob,,m/mtl_mp_pants_14dsco,,kneepads,!shinguard,female,,,,,,
mp_pants_m_13dsco_s,pants,17,22,1,,mp_pants_m_13dsco_s_lob,,m/mtl_mp_pants_14dsco,,!kneepads,shinguard,!female,,,,,,
mp_pants_m_14dsco_p,pants,17,22,1,,mp_pants_m_14dsco_p_lob,,m/mtl_mp_pants_14dsco,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_15dsco_k,pants,17,22,1,,mp_pants_m_15dsco_k_lob,,m/mtl_mp_pants_14dsco,,kneepads,!shinguard,!female,,,,,,
mp_pants_f_78neuro_k,pants,18,23,1,,mp_pants_f_78neuro_k_lob,,m/mtl_mp_pants_78_neuro,,kneepads,!shinguard,female,,,,,,
mp_pants_f_78neuro_p,pants,18,23,1,,mp_pants_f_78neuro_p_lob,,m/mtl_mp_pants_78_neuro,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_78neuro_s,pants,18,23,1,,mp_pants_f_78neuro_s_lob,,m/mtl_mp_pants_78_neuro,,!kneepads,shinguard,female,,,,,,
mp_pants_m_78neuro_k,pants,18,23,1,,mp_pants_m_78neuro_k_lob,,m/mtl_mp_pants_78_neuro,,kneepads,!shinguard,!female,,,,,,
mp_pants_m_78neuro_p,pants,18,23,1,,mp_pants_m_78neuro_p_lob,,m/mtl_mp_pants_78_neuro,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_78neuro_s,pants,18,23,1,,mp_pants_m_78neuro_s_lob,,m/mtl_mp_pants_78_neuro,,!kneepads,shinguard,!female,,,,,,
mp_pants_f_16bomb_s,pants,19,24,1,,mp_pants_f_16bomb_s_lob,,m/mtl_mp_pants_17bomb,,!kneepads,shinguard,female,,,,,,
mp_pants_f_17bomb_p,pants,19,24,1,,mp_pants_f_17bomb_p_lob,,m/mtl_mp_pants_17bomb,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_18bomb_k,pants,19,24,1,,mp_pants_f_18bomb_k_lob,,m/mtl_mp_pants_17bomb,,kneepads,!shinguard,female,,,,,,
mp_pants_m_16bomb_s,pants,19,24,1,,mp_pants_m_16bomb_s_lob,,m/mtl_mp_pants_17bomb,,!kneepads,shinguard,!female,,,,,,
mp_pants_m_17bomb_p,pants,19,24,1,,mp_pants_m_17bomb_p_lob,,m/mtl_mp_pants_17bomb,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_18bomb_k,pants,19,24,1,,mp_pants_m_18bomb_k_lob,,m/mtl_mp_pants_17bomb,,kneepads,!shinguard,!female,,,,,,
mp_pants_f_76spa_k,pants,20,25,1,,mp_pants_f_76spa_k_lob,,,,kneepads,!shinguard,female,,,,,,
mp_pants_f_76spa_p,pants,20,25,1,,mp_pants_f_76spa_p_lob,,,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_76spa_s,pants,20,25,1,,mp_pants_f_76spa_s_lob,,,,!kneepads,shinguard,female,,,,,,
mp_pants_m_76spa_k,pants,20,25,1,,mp_pants_m_76spa_k_lob,,,,kneepads,!shinguard,!female,,,,,,
mp_pants_m_76spa_p,pants,20,25,1,,mp_pants_m_76spa_p_lob,,,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_76spa_s,pants,20,25,1,,mp_pants_m_76spa_s_lob,,,,!kneepads,shinguard,!female,,,,,,
mp_pants_f_80_k,pants,21,26,1,,mp_pants_f_80_k_lob,,,,kneepads,!shinguard,female,,,,,,
mp_pants_f_80_p,pants,21,26,1,,mp_pants_f_80_p_lob,,,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_80_s,pants,21,26,1,,mp_pants_f_80_s_lob,,,,!kneepads,shinguard,female,,,,,,
mp_pants_m_80_k,pants,21,26,1,,mp_pants_m_80_k_lob,,m/mtl_mp_pants_80a,,kneepads,!shinguard,!female,,,,,,
mp_pants_m_80_p,pants,21,26,1,,mp_pants_m_80_p_lob,,m/mtl_mp_pants_80a,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_80_s,pants,21,26,1,,mp_pants_m_80_s_lob,,m/mtl_mp_pants_80a,,!kneepads,shinguard,!female,,,,,,
mp_pants_f_19rad_s,pants,22,27,1,,mp_pants_f_19rad_s_lob,,m/mtl_mp_pants_20rad,,!kneepads,shinguard,female,,,,,,
mp_pants_f_20rad_p,pants,22,27,1,,mp_pants_f_20rad_p_lob,,m/mtl_mp_pants_20rad,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_21rad_k,pants,22,27,1,,mp_pants_f_21rad_k_lob,,m/mtl_mp_pants_20rad,,kneepads,!shinguard,female,,,,,,
mp_pants_m_19rad_s,pants,22,27,1,,mp_pants_m_19rad_s_lob,,m/mtl_mp_pants_20rad,,!kneepads,shinguard,!female,,,,,,
mp_pants_m_20rad_p,pants,22,27,1,,mp_pants_m_20rad_p_lob,,m/mtl_mp_pants_20rad,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_21rad_k,pants,22,27,1,,mp_pants_m_21rad_k_lob,,m/mtl_mp_pants_20rad,,kneepads,!shinguard,!female,,,,,,
mp_pants_m_81_p,pants,23,28,1,,mp_pants_m_81_p_lob,,,,!shinguard,,,,,,,,
mp_pants_m_81_s,pants,23,28,1,,mp_pants_m_81_s_lob,,,,shinguard,!kneepads,,,,,,,
mp_pants_m_01car_k,pants,24,29,1,,mp_pants_m_01car_k_lob,,m/mtl_mp_pants_01car,,kneepads,!shinguard,!female,,,,,,
mp_pants_f_01car_k,pants,24,29,1,,mp_pants_f_01car_k_lob,,m/mtl_mp_pants_01car,,kneepads,!shinguard,female,,,,,,
mp_pants_f_03car_p,pants,24,29,1,,mp_pants_f_03car_p_lob,,m/mtl_mp_pants_01car,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_07car_s,pants,24,29,1,,mp_pants_f_07car_s_lob,,m/mtl_mp_pants_01car,,!kneepads,shinguard,female,,,,,,
mp_pants_m_03car_p,pants,24,29,1,,mp_pants_m_03car_p_lob,,m/mtl_mp_pants_01car,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_07car_s,pants,24,29,1,,mp_pants_m_07car_s_lob,,m/mtl_mp_pants_01car,,!kneepads,shinguard,!female,,,,,,
mp_pants_f_13xmas_s,pants,25,30,1,,mp_pants_f_13xmas_s_lob,,m/mtl_mp_pants_14xmas,,!kneepads,shinguard,female,,,,,,
mp_pants_m_13xmas_s,pants,25,30,1,,mp_pants_m_13xmas_s_lob,,m/mtl_mp_pants_14xmas,,!kneepads,shinguard,!female,,,,,,
mp_pants_m_14xmas_p,pants,25,30,1,,mp_pants_m_14xmas_p_lob,,m/mtl_mp_pants_14xmas,,!kneepads,!shinguard,female,,,,,,
mp_pants_m_14xmas_p,pants,25,30,1,,mp_pants_m_14xmas_p_lob,,m/mtl_mp_pants_14xmas,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_15xmas_k,pants,25,30,1,,mp_pants_m_15xmas_k_lob,,m/mtl_mp_pants_14xmas,,kneepads,!shinguard,female,,,,,,
mp_pants_m_15xmas_k,pants,25,30,1,,mp_pants_m_15xmas_k_lob,,m/mtl_mp_pants_14xmas,,kneepads,!shinguard,!female,,,,,,
mp_eyewear_01a_cormack,eyewear,2,1,0,none,mp_eyewear_01a_cormack_lob,,m/mtl_mp_eyewear_01a,,cormack,!fullmask,!visor,,,,,,
mp_eyewear_01a_barton,eyewear,2,1,0,,mp_eyewear_01a_barton_lob,,m/mtl_mp_eyewear_01a,,barton,!fullmask,!visor,,,,,,
mp_eyewear_01a_basara,eyewear,2,1,0,,mp_eyewear_01a_basara_lob,,m/mtl_mp_eyewear_01a,,basara,!fullmask,!visor,,,,,,
mp_eyewear_01a_chen,eyewear,2,1,0,,mp_eyewear_01a_chen_lob,,m/mtl_mp_eyewear_01a,,chen,!fullmask,!visor,,,,,,
mp_eyewear_01a_clark,eyewear,2,1,0,,mp_eyewear_01a_clark_lob,,m/mtl_mp_eyewear_01a,,clark,!fullmask,!visor,,,,,,
mp_eyewear_01a_coyle,eyewear,2,1,0,,mp_eyewear_01a_coyle_lob,,m/mtl_mp_eyewear_01a,,coyle,!fullmask,!visor,,,,,,
mp_eyewear_01a_davis,eyewear,2,1,0,,mp_eyewear_01a_davis_lob,,m/mtl_mp_eyewear_01a,,davis,!fullmask,!visor,,,,,,
mp_eyewear_01a_gideon,eyewear,2,1,0,,mp_eyewear_01a_gideon_lob,,m/mtl_mp_eyewear_01a,,gideon,!fullmask,!visor,,,,,,
mp_eyewear_01a_gots,eyewear,2,1,0,,,,m/mtl_mp_eyewear_01a,,illana,!fullmask,!visor,,,,,,
mp_eyewear_01a_hanks,eyewear,2,1,0,,mp_eyewear_01a_hanks_lob,,m/mtl_mp_eyewear_01a,,hanks,!fullmask,!visor,,,,,,
mp_eyewear_01a_kang,eyewear,2,1,0,,mp_eyewear_01a_kang_lob,,m/mtl_mp_eyewear_01a,,kang,!fullmask,!visor,,,,,,
mp_eyewear_01a_kva,eyewear,2,1,0,,mp_eyewear_01a_kva_lob,,m/mtl_mp_eyewear_01a,,kva_head,!fullmask,!visor,,,,,,
mp_eyewear_01a_lee,eyewear,2,1,0,,mp_eyewear_01a_lee_lob,,m/mtl_mp_eyewear_01a,,lee,!fullmask,!visor,,,,,,
mp_eyewear_01a_martin,eyewear,2,1,0,,mp_eyewear_01a_martin_lob,,m/mtl_mp_eyewear_01a,,martin,!fullmask,!visor,,,,,,
mp_eyewear_01a_pas,eyewear,2,1,0,,mp_eyewear_01a_pas_lob,,m/mtl_mp_eyewear_01a,,pas,!fullmask,!visor,,,,,,
mp_eyewear_01a_waters,eyewear,2,1,0,,mp_eyewear_01a_waters_lob,,m/mtl_mp_eyewear_01a,,waters,!fullmask,!visor,,,,,,
mp_eyewear_01a_young,eyewear,2,1,0,,mp_eyewear_01a_young_lob,,m/mtl_mp_eyewear_01a,,young,!fullmask,!visor,,,,,,
mp_eyewear_03a_barton,eyewear,3,2,0,,mp_eyewear_03a_barton_lob,,,,barton,!fullmask,!visor,,,,,,
mp_eyewear_03a_basara,eyewear,3,2,0,,mp_eyewear_03a_basara_lob,,,,basara,!fullmask,!visor,,,,,,
mp_eyewear_03a_chen,eyewear,3,2,0,,mp_eyewear_03a_chen_lob,,,,chen,!fullmask,!visor,,,,,,
mp_eyewear_03a_clark,eyewear,3,2,0,,mp_eyewear_03a_clark_lob,,,,clark,!fullmask,!visor,,,,,,
mp_eyewear_03a_cormack,eyewear,3,2,0,,mp_eyewear_03a_cormack_lob,,,,cormack,!fullmask,!visor,,,,,,
mp_eyewear_03a_coyle,eyewear,3,2,0,,mp_eyewear_03a_coyle_lob,,,,coyle,!fullmask,!visor,,,,,,
mp_eyewear_03a_davis,eyewear,3,2,0,,mp_eyewear_03a_davis_lob,,,,davis,!fullmask,!visor,,,,,,
mp_eyewear_03a_gideon,eyewear,3,2,0,,mp_eyewear_03a_gideon_lob,,,,gideon,!fullmask,!visor,,,,,,
mp_eyewear_03a_gots,eyewear,3,2,0,,mp_eyewear_03a_gots_lob,,,,illana,!fullmask,!visor,,,,,,
mp_eyewear_03a_hanks,eyewear,3,2,0,,mp_eyewear_03a_hanks_lob,,,,hanks,!fullmask,!visor,,,,,,
mp_eyewear_03a_kang,eyewear,3,2,0,,mp_eyewear_03a_kang_lob,,,,kang,!fullmask,!visor,,,,,,
mp_eyewear_03a_kva,eyewear,3,2,0,,mp_eyewear_03a_kva_lob,,,,kva_head,!fullmask,!visor,,,,,,
mp_eyewear_03a_lee,eyewear,3,2,0,,mp_eyewear_03a_lee_lob,,,,lee,!fullmask,!visor,,,,,,
mp_eyewear_03a_martin,eyewear,3,2,0,,mp_eyewear_03a_martin_lob,,,,martin,!fullmask,!visor,,,,,,
mp_eyewear_03a_pas,eyewear,3,2,0,,mp_eyewear_03a_pas_lob,,,,pas,!fullmask,!visor,,,,,,
mp_eyewear_03a_waters,eyewear,3,2,0,,mp_eyewear_03a_waters_lob,,,,waters,!fullmask,!visor,,,,,,
mp_eyewear_03a_young,eyewear,3,2,0,,mp_eyewear_03a_young_lob,,,,young,!fullmask,!visor,,,,,,
mp_eyewear_07a_barton,eyewear,4,3,0,,mp_eyewear_07a_barton_lob,,,,barton,!fullmask,!visor,,,,,,
mp_eyewear_07a_basara,eyewear,4,3,0,,mp_eyewear_07a_basara_lob,,,,basara,!fullmask,!visor,,,,,,
mp_eyewear_07a_chen,eyewear,4,3,0,,mp_eyewear_07a_chen_lob,,,,chen,!fullmask,!visor,,,,,,
mp_eyewear_07a_clark,eyewear,4,3,0,,mp_eyewear_07a_clark_lob,,,,clark,!fullmask,!visor,,,,,,
mp_eyewear_07a_cormack,eyewear,4,3,0,,mp_eyewear_07a_cormack_lob,,,,cormack,!fullmask,!visor,,,,,,
mp_eyewear_07a_coyle,eyewear,4,3,0,,mp_eyewear_07a_coyle_lob,,,,coyle,!fullmask,!visor,,,,,,
mp_eyewear_07a_davis,eyewear,4,3,0,,,,,,davis,!fullmask,!visor,,,,,,
mp_eyewear_07a_gideon,eyewear,4,3,0,,mp_eyewear_07a_gideon_lob,,,,gideon,!fullmask,!visor,,,,,,
mp_eyewear_07a_gots,eyewear,4,3,0,,mp_eyewear_07a_gots_lob,,,,illana,!fullmask,!visor,,,,,,
mp_eyewear_07a_hanks,eyewear,4,3,0,,mp_eyewear_07a_hanks_lob,,,,hanks,!fullmask,!visor,,,,,,
mp_eyewear_07a_kang,eyewear,4,3,0,,mp_eyewear_07a_kang_lob,,,,kang,!fullmask,!visor,,,,,,
mp_eyewear_07a_kva,eyewear,4,3,0,,mp_eyewear_07a_kva_lob,,,,kva_head,!fullmask,!visor,,,,,,
mp_eyewear_07a_lee,eyewear,4,3,0,,mp_eyewear_07a_lee_lob,,,,lee,!fullmask,!visor,,,,,,
mp_eyewear_07a_martin,eyewear,4,3,0,,mp_eyewear_07a_martin_lob,,,,martin,!fullmask,!visor,,,,,,
mp_eyewear_07a_pas,eyewear,4,3,0,,mp_eyewear_07a_pas_lob,,,,pas,!fullmask,!visor,,,,,,
mp_eyewear_07a_waters,eyewear,4,3,0,,mp_eyewear_07a_waters_lob,,,,waters,!fullmask,!visor,,,,,,
mp_eyewear_07a_young,eyewear,4,3,0,,mp_eyewear_07a_young_lob,,,,young,!fullmask,!visor,,,,,,
mp_eyewear_08a_barton,eyewear,5,4,0,,mp_eyewear_08a_barton_lob,,,,barton,!fullmask,!visor,,,,,,
mp_eyewear_08a_basara,eyewear,5,4,0,,mp_eyewear_08a_basara_lob,,,,basara,!fullmask,!visor,,,,,,
mp_eyewear_08a_chen,eyewear,5,4,0,,mp_eyewear_08a_chen_lob,,,,chen,!fullmask,!visor,,,,,,
mp_eyewear_08a_clark,eyewear,5,4,0,,mp_eyewear_08a_clark_lob,,,,clark,!fullmask,!visor,,,,,,
mp_eyewear_08a_cormack,eyewear,5,4,0,,mp_eyewear_08a_cormack_lob,,,,cormack,!fullmask,!visor,,,,,,
mp_eyewear_08a_coyle,eyewear,5,4,0,,mp_eyewear_08a_coyle_lob,,,,coyle,!fullmask,!visor,,,,,,
mp_eyewear_08a_davis,eyewear,5,4,0,,mp_eyewear_08a_davis_lob,,,,davis,!fullmask,!visor,,,,,,
mp_eyewear_08a_gideon,eyewear,5,4,0,,mp_eyewear_08a_gideon_lob,,,,gideon,!fullmask,!visor,,,,,,
mp_eyewear_08a_gots,eyewear,5,4,0,,mp_eyewear_08a_gots_lob,,,,illana,!fullmask,!visor,,,,,,
mp_eyewear_08a_hanks,eyewear,5,4,0,,mp_eyewear_08a_hanks_lob,,,,hanks,!fullmask,!visor,,,,,,
mp_eyewear_08a_kang,eyewear,5,4,0,,mp_eyewear_08a_kang_lob,,,,kang,!fullmask,!visor,,,,,,
mp_eyewear_08a_kva,eyewear,5,4,0,,mp_eyewear_08a_kva_lob,,,,kva_head,!fullmask,!visor,,,,,,
mp_eyewear_08a_lee,eyewear,5,4,0,,mp_eyewear_08a_lee_lob,,,,lee,!fullmask,!visor,,,,,,
mp_eyewear_08a_martin,eyewear,5,4,0,,mp_eyewear_08a_martin_lob,,,,martin,!fullmask,!visor,,,,,,
mp_eyewear_08a_pas,eyewear,5,4,0,,mp_eyewear_08a_pas_lob,,,,pas,!fullmask,!visor,,,,,,
mp_eyewear_08a_waters,eyewear,5,4,0,,mp_eyewear_08a_waters_lob,,,,waters,!fullmask,!visor,,,,,,
mp_eyewear_08a_young,eyewear,5,4,0,,mp_eyewear_08a_young_lob,,,,young,!fullmask,!visor,,,,,,
mp_eyewear_10a_barton,eyewear,6,5,0,,mp_eyewear_10a_barton_lob,,,,!fullmask,!visor,barton,,,,,,
mp_eyewear_10a_basara,eyewear,6,5,0,,mp_eyewear_10a_basara_lob,,,,!fullmask,!visor,basara,,,,,,
mp_eyewear_10a_chen,eyewear,6,5,0,,mp_eyewear_10a_chen_lob,,,,!fullmask,!visor,chen,,,,,,
mp_eyewear_10a_clark,eyewear,6,5,0,,mp_eyewear_10a_clark_lob,,,,!fullmask,!visor,clark,,,,,,
mp_eyewear_10a_cormack,eyewear,6,5,0,,mp_eyewear_10a_cormack_lob,,,,!fullmask,!visor,cormack,,,,,,
mp_eyewear_10a_coyle,eyewear,6,5,0,,mp_eyewear_10a_coyle_lob,,,,!fullmask,!visor,coyle,,,,,,
mp_eyewear_10a_davis,eyewear,6,5,0,,mp_eyewear_10a_davis_lob,,,,!fullmask,!visor,davis,,,,,,
mp_eyewear_10a_gideon,eyewear,6,5,0,,mp_eyewear_10a_gideon_lob,,,,!fullmask,!visor,gideon,,,,,,
mp_eyewear_10a_gots,eyewear,6,5,0,,mp_eyewear_10a_gots_lob,,,,!fullmask,!visor,illana,,,,,,
mp_eyewear_10a_hanks,eyewear,6,5,0,,mp_eyewear_10a_hanks_lob,,,,!fullmask,!visor,hanks,,,,,,
mp_eyewear_10a_kang,eyewear,6,5,0,,mp_eyewear_10a_kang_lob,,,,!fullmask,!visor,kang,,,,,,
mp_eyewear_10a_kva,eyewear,6,5,0,,mp_eyewear_10a_kva_lob,,,,!fullmask,!visor,kva_head,,,,,,
mp_eyewear_10a_lee,eyewear,6,5,0,,mp_eyewear_10a_lee_lob,,,,!fullmask,!visor,lee,,,,,,
mp_eyewear_10a_martin,eyewear,6,5,0,,mp_eyewear_10a_martin_lob,,,,!fullmask,!visor,martin,,,,,,
mp_eyewear_10a_pas,eyewear,6,5,0,,mp_eyewear_10a_pas_lob,,,,!fullmask,!visor,pas,,,,,,
mp_eyewear_10a_waters,eyewear,6,5,0,,mp_eyewear_10a_waters_lob,,,,!fullmask,!visor,waters,,,,,,
mp_eyewear_10a_young,eyewear,6,5,0,,mp_eyewear_10a_young_lob,,,,!fullmask,!visor,young,,,,,,
mp_eyewear_02a_barton,eyewear,7,6,0,,mp_eyewear_02a_barton_lob,,,,barton,!fullmask,!visor,,,,,,
mp_eyewear_02a_basara,eyewear,7,6,0,,mp_eyewear_02a_basara_lob,,,,basara,!fullmask,!visor,,,,,,
mp_eyewear_02a_chen,eyewear,7,6,0,,mp_eyewear_02a_chen_lob,,,,chen,!fullmask,!visor,,,,,,
mp_eyewear_02a_clark,eyewear,7,6,0,,mp_eyewear_02a_clark_lob,,,,clark,!fullmask,!visor,,,,,,
mp_eyewear_02a_cormack,eyewear,7,6,0,,mp_eyewear_02a_cormack_lob,,,,cormack,!fullmask,!visor,,,,,,
mp_eyewear_02a_coyle,eyewear,7,6,0,,mp_eyewear_02a_coyle_lob,,,,coyle,!fullmask,!visor,,,,,,
mp_eyewear_02a_davis,eyewear,7,6,0,,mp_eyewear_02a_davis_lob,,,,davis,!fullmask,!visor,,,,,,
mp_eyewear_02a_gideon,eyewear,7,6,0,,mp_eyewear_02a_gideon_lob,,,,gideon,!fullmask,!visor,,,,,,
mp_eyewear_02a_gots,eyewear,7,6,0,,mp_eyewear_02a_gots_lob,,,,illana,!fullmask,!visor,,,,,,
mp_eyewear_02a_hanks,eyewear,7,6,0,,mp_eyewear_02a_hanks_lob,,,,hanks,!fullmask,!visor,,,,,,
mp_eyewear_02a_kang,eyewear,7,6,0,,mp_eyewear_02a_kang_lob,,,,kang,!fullmask,!visor,,,,,,
mp_eyewear_02a_kva,eyewear,7,6,0,,mp_eyewear_02a_kva_lob,,,,kva_head,!fullmask,!visor,,,,,,
mp_eyewear_02a_lee,eyewear,7,6,0,,mp_eyewear_02a_lee_lob,,,,lee,!fullmask,!visor,,,,,,
mp_eyewear_02a_martin,eyewear,7,6,0,,mp_eyewear_02a_martin_lob,,,,martin,!fullmask,!visor,,,,,,
mp_eyewear_02a_pas,eyewear,7,6,0,,mp_eyewear_02a_pas_lob,,,,pas,!fullmask,!visor,,,,,,
mp_eyewear_02a_waters,eyewear,7,6,0,,mp_eyewear_02a_waters_lob,,,,waters,!fullmask,!visor,,,,,,
mp_eyewear_02a_young,eyewear,7,6,0,,mp_eyewear_02a_young_lob,,,,!visor,,,,,,,,
mp_eyewear_09a_barton,eyewear,8,7,0,,mp_eyewear_09a_barton_lob,,m/mtl_mp_eyewear_09a,,barton,!fullmask,!visor,,,,,,
mp_eyewear_09a_basara,eyewear,8,7,0,,mp_eyewear_09a_basara_lob,,m/mtl_mp_eyewear_09a,,basara,!fullmask,!visor,,,,,,
mp_eyewear_09a_chen,eyewear,8,7,0,,mp_eyewear_09a_chen_lob,,m/mtl_mp_eyewear_09a,,chen,!fullmask,!visor,,,,,,
mp_eyewear_09a_clark,eyewear,8,7,0,,mp_eyewear_09a_clark_lob,,m/mtl_mp_eyewear_09a,,clark,!fullmask,!visor,,,,,,
mp_eyewear_09a_cormack,eyewear,8,7,0,,mp_eyewear_09a_cormack_lob,,m/mtl_mp_eyewear_09a,,cormack,!fullmask,!visor,,,,,,
mp_eyewear_09a_coyle,eyewear,8,7,0,,mp_eyewear_09a_coyle_lob,,m/mtl_mp_eyewear_09a,,coyle,!fullmask,!visor,,,,,,
mp_eyewear_09a_davis,eyewear,8,7,0,,,,m/mtl_mp_eyewear_09a,,davis,!fullmask,!visor,,,,,,
mp_eyewear_09a_gideon,eyewear,8,7,0,,mp_eyewear_09a_gideon_lob,,m/mtl_mp_eyewear_09a,,gideon,!fullmask,!visor,,,,,,
mp_eyewear_09a_gots,eyewear,8,7,0,,mp_eyewear_09a_gots_lob,,m/mtl_mp_eyewear_09a,,illana,!fullmask,!visor,,,,,,
