a0,b1,c2,d3,e4,f5,f6
iw5_asawloot5,-0.1,145,-0.295,-2,lobby_asaw,crouch
iw5_asawloot6,-0.1,145,-0.295,-2,lobby_asaw,crouch
iw5_asawloot7,-0.1,145,-0.295,-2,lobby_asaw,crouch
iw5_asawloot8,-0.1,145,-0.295,-2,lobby_asaw,crouch
iw5_asawloot9,-0.1,145,-0.295,-2,lobby_asaw,zoom_high
iw5_dlcgun8loot9,-0.1,145,-0.295,-2,lobby_asaw,zoom_high
iw5_exoxmgloot0,-0.1,152,-0.4,-9,lobby_exoxmg,stand
iw5_exoxmgloot1,-0.1,152,-0.4,-9,lobby_exoxmg,stand
iw5_exoxmgloot2,-0.1,152,-0.4,-9,lobby_exoxmg,stand
iw5_exoxmgloot3,-0.1,152,-0.4,-9,lobby_exoxmg,stand
iw5_exoxmgloot4,-0.1,152,-0.4,-9,lobby_exoxmg,stand
iw5_exoxmgloot5,-0.1,152,-0.4,-9,lobby_exoxmg,stand
iw5_exoxmgloot6,-0.1,152,-0.4,-9,lobby_exoxmg,stand
iw5_exoxmgloot7,-0.1,152,-0.4,-9,lobby_exoxmg,stand
iw5_exoxmgloot8,-0.1,152,-0.4,-9,lobby_exoxmg,hunch
iw5_exoxmgloot9,-0.1,152,-0.4,-9,lobby_exoxmg,stand
iw5_dlcgun10loot5,-0.1,152,-0.4,-9,lobby_exoxmg,stand
iw5_exocrossbowloot0,-0.1,135,-0.305,-6,lobby_exocrossbow,stand
iw5_exocrossbowloot1,-0.1,135,-0.305,-6,lobby_exocrossbow,stand
iw5_exocrossbowloot2,-0.1,135,-0.305,-6,lobby_exocrossbow,stand
iw5_exocrossbowloot3,-0.1,135,-0.305,-6,lobby_exocrossbow,stand
iw5_exocrossbowloot4,-0.1,135,-0.305,-6,lobby_exocrossbow,stand
iw5_exocrossbowloot5,-0.1,135,-0.305,-6,lobby_exocrossbow,stand
iw5_exocrossbowloot6,-0.1,135,-0.305,-6,lobby_exocrossbow,stand
iw5_exocrossbowloot7,-0.1,135,-0.305,-6,lobby_exocrossbow,stand
iw5_exocrossbowloot8,-0.1,135,-0.305,-6,lobby_exocrossbow,stand
iw5_exocrossbowloot9,-0.1,135,-0.305,-6,lobby_exocrossbow,stand
iw5_dlcgun11loot0,-0.1,135,-0.305,-6,lobby_exocrossbow,stand
iw5_exocrossbowblops2,-0.1,135,-0.305,-6,lobby_exocrossbow,stand
iw5_rw1loot0,-0.1,102,-0.315,-3.5,,stand
iw5_rw1loot1,-0.1,102,-0.315,-3.5,,stand
iw5_rw1loot2,-0.1,102,-0.315,-3.5,,stand
iw5_rw1loot3,-0.1,102,-0.315,-3.5,,stand
iw5_rw1loot4,-0.1,102,-0.315,-3.5,,stand
iw5_rw1loot5,-0.1,102,-0.315,-3.5,,stand
iw5_rw1loot6,-0.1,102,-0.315,-3.5,,stand
iw5_rw1loot7,-0.1,102,-0.315,-3.5,,stand
iw5_rw1loot8,-0.1,102,-0.315,-3.5,,stand
iw5_rw1loot9,-0.1,102,-0.315,-3.5,,stand
iw5_dlcgun10loot8,-0.1,102,-0.315,-3.5,,stand
iw5_mahemloot0,-0.1,170,-0.295,-13.5,,stand
iw5_mahemloot1,-0.1,170,-0.295,-13.5,,stand
iw5_mahemloot2,-0.1,170,-0.295,-13.5,,stand
iw5_mahemloot3,-0.1,170,-0.295,-13.5,,stand
iw5_dlcgun11loot4,-0.1,170,-0.295,-13.5,,stand
iw5_mahemloot4,-0.1,170,-0.295,-13.5,,stand
iw5_mahemloot5,-0.1,170,-0.295,-13.5,,stand
iw5_mahemloot6,-0.1,170,-0.295,-13.5,,stand
iw5_mahemloot7,-0.1,170,-0.295,-13.5,,stand
iw5_mahemloot8,-0.1,170,-0.295,-13.5,,stand
iw5_mahemloot9,-0.1,170,-0.295,-13.5,,stand
iw5_epm3,-0.1,155,-0.315,-2,lobby_epm3,stand
iw5_epm3loot0,-0.1,155,-0.315,-2,lobby_epm3,stand
iw5_epm3loot1,-0.1,155,-0.315,-2,lobby_epm3,stand
iw5_epm3loot2,-0.1,155,-0.315,-2,lobby_epm3,stand
iw5_epm3loot3,-0.1,155,-0.315,-2,lobby_epm3,stand
iw5_epm3loot4,-0.1,155,-0.315,-2,lobby_epm3,crouch
iw5_epm3loot5,-0.1,155,-0.315,-2,lobby_epm3,crouch
iw5_epm3loot6,-0.1,155,-0.315,-2,lobby_epm3,crouch
iw5_epm3loot7,-0.1,155,-0.315,-2,lobby_epm3,crouch
iw5_epm3loot8,-0.1,155,-0.315,-2,lobby_epm3,stand
iw5_epm3loot9,-0.1,155,-0.315,-2,lobby_epm3,zoom_high
iw5_dlcgun10loot6,-0.1,155,-0.315,-2,lobby_epm3,zoom_high
iw5_riotshieldt6loot0,-0.1,355,-0.28,-10,lobby_riotshieldt6,stand
iw5_riotshieldt6loot1,-0.1,355,-0.28,-10,lobby_riotshieldt6,stand
iw5_riotshieldt6loot2,-0.1,355,-0.28,-10,lobby_riotshieldt6,stand
iw5_riotshieldt6loot3,-0.1,355,-0.28,-10,lobby_riotshieldt6,crouch
iw5_dlcgun1loot0,-0.1,137,-0.315,-4,lobby_dlcgun1,stand
iw5_dlcgun1loot1,-0.1,137,-0.315,-4,lobby_dlcgun1,stand
iw5_dlcgun1loot2,-0.1,137,-0.315,-4,lobby_dlcgun1,stand
iw5_dlcgun1loot3,-0.1,137,-0.315,-4,lobby_dlcgun1,stand
iw5_dlcgun1loot4,-0.1,137,-0.315,-4,lobby_dlcgun1,stand
iw5_dlcgun1loot5,-0.1,137,-0.315,-4,lobby_dlcgun1,stand
iw5_dlcgun1loot6,-0.1,137,-0.315,-4,lobby_dlcgun1,stand
iw5_dlcgun1loot7,-0.1,137,-0.315,-4,lobby_dlcgun1,stand
iw5_dlcgun1loot8,-0.1,137,-0.315,-4,lobby_dlcgun1,stand
iw5_dlcgun1loot9,-0.1,137,-0.315,-4,lobby_dlcgun1,stand
iw5_dlcgun9loot6,-0.1,137,-0.315,-4,lobby_dlcgun1,stand
iw5_dlcgun2,-0.1,145,-0.295,-2,lobby_dlcgun2,stand
iw5_dlcgun2loot0,-0.1,145,-0.295,-2,lobby_dlcgun2,stand
iw5_dlcgun2loot1,-0.1,145,-0.295,-2,lobby_dlcgun2,stand
iw5_dlcgun2loot2,-0.1,145,-0.295,-2,lobby_dlcgun2,stand
iw5_dlcgun2loot3,-0.1,145,-0.295,-2,lobby_dlcgun2,stand
iw5_dlcgun2loot4,-0.1,145,-0.295,-2,lobby_dlcgun2,stand
iw5_dlcgun2loot5,-0.1,145,-0.295,-2,lobby_dlcgun2,stand
iw5_dlcgun2loot6,-0.1,145,-0.295,-2,lobby_dlcgun2,stand
iw5_dlcgun2loot7,-0.1,145,-0.295,-2,lobby_dlcgun2,stand
iw5_dlcgun2loot8,-0.1,145,-0.295,-2,lobby_dlcgun2,zoom_high
iw5_dlcgun2loot9,-0.1,145,-0.295,-2,lobby_dlcgun2,stand
iw5_dlcgun10loot3,-0.1,145,-0.295,-2,lobby_dlcgun2,stand
iw5_dlcgun3,-0.1,137,-0.315,-4,lobby_dlcgun3,stand
iw5_dlcgun3loot0,-0.1,137,-0.315,-4,lobby_dlcgun3,stand
iw5_dlcgun3loot1,-0.1,137,-0.315,-4,lobby_dlcgun3,stand
iw5_dlcgun3loot2,-0.1,137,-0.315,-4,lobby_dlcgun3,stand
iw5_dlcgun3loot3,-0.1,137,-0.315,-4,lobby_dlcgun3,stand
iw5_dlcgun3loot4,-0.1,137,-0.315,-4,lobby_dlcgun3,stand
iw5_dlcgun3loot5,-0.1,137,-0.315,-4,lobby_dlcgun3,stand
iw5_dlcgun3loot6,-0.1,137,-0.315,-4,lobby_dlcgun3,stand
iw5_dlcgun3loot7,-0.1,137,-0.315,-4,lobby_dlcgun3,stand
iw5_dlcgun3loot8,-0.1,137,-0.315,-4,lobby_dlcgun3,stand
iw5_dlcgun3loot9,-0.1,137,-0.315,-4,lobby_dlcgun3,stand
iw5_dlcgun5loot5,-0.1,137,-0.315,-4,lobby_dlcgun3,stand
iw5_dlcgun3_akimbo,-0.1,137,-0.315,-4,lobby_dlcgun3_akimbo,stand
iw5_dlcgun3loot0_akimbo,-0.1,137,-0.315,-4,lobby_dlcgun3_akimbo,stand
iw5_dlcgun3loot1_akimbo,-0.1,137,-0.315,-4,lobby_dlcgun3_akimbo,stand
iw5_dlcgun3loot2_akimbo,-0.1,137,-0.315,-4,lobby_dlcgun3_akimbo,stand
iw5_dlcgun3loot3_akimbo,-0.1,137,-0.315,-4,lobby_dlcgun3_akimbo,stand
iw5_dlcgun3loot4_akimbo,-0.1,137,-0.315,-4,lobby_dlcgun3_akimbo,stand
iw5_dlcgun3loot5_akimbo,-0.1,137,-0.315,-4,lobby_dlcgun3_akimbo,stand
iw5_dlcgun3loot6_akimbo,-0.1,137,-0.315,-4,lobby_dlcgun3_akimbo,stand
iw5_dlcgun3loot7_akimbo,-0.1,137,-0.315,-4,lobby_dlcgun3_akimbo,stand
iw5_dlcgun3loot8_akimbo,-0.1,137,-0.315,-4,lobby_dlcgun3_akimbo,stand
iw5_dlcgun3loot9_akimbo,-0.1,137,-0.315,-4,lobby_dlcgun3_akimbo,stand
iw5_dlcgun5loot5_akimbo,-0.1,137,-0.315,-4,lobby_dlcgun3_akimbo,stand
iw5_dlcgun5loot0,-0.1,125,-0.355,-8.5,lobby_sac3_onehand,stand
iw5_dlcgun5loot1,-0.1,125,-0.355,-8.5,lobby_sac3_onehand,stand
iw5_dlcgun5loot2,-0.1,125,-0.355,-8.5,lobby_sac3_onehand,stand
iw5_dlcgun5loot3,-0.1,125,-0.355,-8.5,lobby_sac3_onehand,stand
iw5_dlcgun5loot4,-0.1,125,-0.355,-8.5,lobby_sac3_onehand,stand
iw5_dlcgun4,-0.1,137,-0.255,-4.5,lobby_dlcgun4,stand
iw5_dlcgun4loot0,-0.1,137,-0.255,-4.5,lobby_dlcgun4,stand
iw5_dlcgun4loot1,-0.1,137,-0.255,-4.5,lobby_dlcgun4,stand
iw5_dlcgun4loot2,-0.1,137,-0.255,-4.5,lobby_dlcgun4,stand
iw5_dlcgun4loot3,-0.1,137,-0.255,-4.5,lobby_dlcgun4,stand
iw5_dlcgun4loot4,-0.1,137,-0.255,-4.5,lobby_dlcgun4,stand
iw5_dlcgun4loot5,-0.1,137,-0.255,-4.5,lobby_dlcgun4,stand
iw5_dlcgun4loot6,-0.1,137,-0.255,-4.5,lobby_dlcgun4,stand
iw5_dlcgun4loot7,-0.1,137,-0.255,-4.5,lobby_dlcgun4,stand
iw5_dlcgun4loot8,-0.1,137,-0.255,-4.5,lobby_dlcgun4,stand
iw5_dlcgun4loot9,-0.1,137,-0.255,-4.5,lobby_dlcgun4,stand
iw5_dlcgun5loot6,-0.1,137,-0.255,-4.5,lobby_dlcgun4,stand
iw5_dlcgun6,-0.1,137,-0.315,-4,lobby_stg44,stand
iw5_dlcgun6loot0,-0.1,137,-0.315,-4,lobby_stg44,stand
iw5_dlcgun6loot1,-0.1,137,-0.315,-4,lobby_stg44,stand
iw5_dlcgun6loot2,-0.1,137,-0.315,-4,lobby_stg44,stand
iw5_dlcgun6loot3,-0.1,137,-0.315,-4,lobby_stg44,stand
iw5_dlcgun6loot4,-0.1,137,-0.315,-4,lobby_stg44,stand
iw5_dlcgun6loot5,-0.1,149,-0.29,-2.5,lobby_dragunov,hunch
iw5_dlcgun6loot6,-0.1,149,-0.29,-2.5,lobby_dragunov,hunch
iw5_dlcgun6loot7,-0.1,149,-0.29,-2.5,lobby_dragunov,hunch
iw5_dlcgun6loot8,-0.1,149,-0.29,-2.5,lobby_dragunov,hunch
iw5_dlcgun6loot9,-0.1,149,-0.29,-2.5,lobby_dragunov,hunch
iw5_dlcgun7,-0.1,149,-0.29,-2.5,lobby_dragunov,hunch
iw5_dlcgun7loot0,-0.1,137,-0.315,-4,lobby_ak47,stand
iw5_dlcgun7loot1,-0.1,137,-0.315,-4,lobby_ak47,stand
iw5_dlcgun7loot2,-0.1,137,-0.315,-4,lobby_ak47,stand
iw5_dlcgun7loot3,-0.1,137,-0.315,-4,lobby_ak47,stand
iw5_dlcgun7loot4,-0.1,137,-0.315,-4,lobby_ak47,stand
iw5_dlcgun7loot5,-0.1,137,-0.315,-4,lobby_ak47,stand
iw5_dlcgun18,-0.1,125,-0.31,-6,lobby_mp40,stand
iw5_dlcgun19,-0.1,125,-0.31,-6,lobby_mp40,stand
iw5_dlcgun20,-0.1,125,-0.31,-6,lobby_mp40,stand
iw5_dlcgun21,-0.1,125,-0.31,-6,lobby_mp40,stand
iw5_dlcgun22,-0.1,125,-0.31,-6,lobby_mp40,crouch
iw5_dlcgun23,-0.1,149,-0.29,-2.5,lobby_m1garand,hunch
iw5_dlcgun24,-0.1,149,-0.29,-2.5,lobby_m1garand,hunch
iw5_dlcgun25,-0.1,149,-0.29,-2.5,lobby_m1garand,hunch
iw5_dlcgun26,-0.1,149,-0.29,-2.5,lobby_m1garand,hunch
iw5_dlcgun27,-0.1,149,-0.29,-2.5,lobby_m1garand,hunch
iw5_dlcgun28,-0.1,140,-0.305,-9,lobby_sten,stand
iw5_dlcgun29,-0.1,140,-0.305,-9,lobby_sten,stand
iw5_dlcgun30,-0.1,140,-0.305,-9,lobby_sten,stand
iw5_dlcgun31,-0.1,140,-0.305,-9,lobby_sten,stand
iw5_dlcgun32,-0.1,140,-0.305,-9,lobby_sten,stand
iw5_dlcgun33,-0.1,149,-0.29,-2.5,lobby_leveraction,hunch
iw5_dlcgun34,-0.1,149,-0.29,-2.5,lobby_leveraction,hunch
iw5_dlcgun35,-0.1,149,-0.29,-2.5,lobby_leveraction,hunch
iw5_dlcgun36,-0.1,149,-0.29,-2.5,lobby_leveraction,hunch
iw5_dlcgun37,-0.1,149,-0.29,-2.5,lobby_leveraction,hunch
iw5_dlcgun38,-0.1,121,-0.335,-11,lobby_repulsor,stand
iw5_dlcgun39,-0.1,121,-0.335,-11,lobby_repulsor,stand
iw5_dlcgun40,-0.1,121,-0.335,-11,lobby_repulsor,stand
iw5_dlcgun41,-0.1,121,-0.335,-11,lobby_repulsor,stand
iw5_dlcgun42,-0.1,121,-0.335,-11,lobby_repulsor,stand
iw5_dlcgun43,-0.1,137,-0.315,-4,lobby_ak47,stand
