a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11
231,exohoverhorde_equipment_mp,PERKS_EXO_HOVER,equipment_exo_hover,PERKS_DESC_EXO_HOVER,flash,1,LUA_MENU_EXO_ABILITY_CAPS,,,ui_icon_exo_hover_fe,
232,exoshieldhorde_equipment_mp,PERKS_EXO_SHIELD,equipment_exo_shield,PERKS_DESC_EXO_SHIELD,flash,1,LUA_MENU_EXO_ABILITY_CAPS,,,ui_icon_exo_shield_fe,
233,specialty_class_lowprofile,PERKS_LOWPROFILE,specialty_s1_lowprofile,PERKS_DESC_LOWPROFILE,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,specialty_s1_cp_lowprofile
234,specialty_class_fasthands,PERKS_FASTHANDS,specialty_s1_fasthands,PERKS_DESC_FASTHANDS,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,specialty_s1_cp_fasthands
235,specialty_class_hardline,PERKS_HARDLINE,specialty_s1_hardline,PERKS_DESC_HARDLINE,Perk_Slot3,,LUA_MENU_PERK_CAPS,,,,specialty_s1_cp_hardline
236,specialty_class_hardwired,PERKS_HARDWIRED,specialty_s1_hardwired,PERKS_DESC_HARDWIRED,Perk_Slot3,,LUA_MENU_PERK_CAPS,,,,specialty_s1_cp_hardwired
237,specialty_class_peripherals,PERKS_PERIPHERALS,specialty_s1_peripherals,PERKS_DESC_PERIPHERALS,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,specialty_s1_cp_peripherals
238,specialty_class_scavenger,PERKS_SCAVENGER,specialty_s1_scavenger,PERKS_DESC_SCAVENGER,Perk_Slot3,,LUA_MENU_PERK_CAPS,,,,specialty_s1_cp_scavenger
239,specialty_class_blindeye,PERKS_BLINDEYE,specialty_s1_blindeye,PERKS_DESC_BLINDEYE,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,specialty_s1_cp_blindeye
240,specialty_class_gungho,PERKS_GUNGHO,specialty_s1_gungho,PERKS_DESC_GUNGHO,unused,,LUA_MENU_PERK_CAPS,,,,specialty_s1_cp_gungho
241,specialty_class_quickdraw,PERKS_QUICKDRAW,specialty_s1_faster_ads,PERKS_DESC_QUICKDRAW,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,specialty_s1_cp_faster_ads
242,specialty_class_coldblooded,PERKS_COLDBLOODED,specialty_s1_coldblooded,PERKS_DESC_COLDBLOODED,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,specialty_s1_cp_coldblooded
243,specialty_class_toughness,PERKS_TOUGHNESS,specialty_s1_toughness,PERKS_DESC_TOUGHNESS,Perk_Slot3,,LUA_MENU_PERK_CAPS,,,,specialty_s1_cp_toughness
244,specialty_class_dexterity,PERKS_DEXTERITY,specialty_s1_dexterity,PERKS_DESC_DEXTERITY,Perk_Slot2,,LUA_MENU_PERK_CAPS,,,,specialty_s1_cp_dexterity
245,specialty_class_lightweight,PERKS_LIGHTWEIGHT,specialty_s1_lightweight,PERKS_DESC_LIGHTWEIGHT,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,specialty_s1_cp_lightweight
246,specialty_class_flakjacket,PERKS_FLAKJACKET,specialty_s1_flakjacket,PERKS_DESC_FLAKJACKET,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,specialty_s1_cp_flakjacket
247,specialty_class_dangerclose,PERKS_DANGERCLOSE,specialty_s1_dangerclose,PERKS_DESC_DANGERCLOSE,Perk_Slot1,,LUA_MENU_PERK_CAPS,,,,specialty_s1_cp_dangerclose
250,specialty_horde_weaponsfree,PERKS_FLAKJACKET,specialty_s1_temp,PERKS_DESC_FLAKJACKET,unused,,,,,,
251,specialty_horde_dualprimary,PERKS_FLAKJACKET,specialty_s1_temp,PERKS_DESC_FLAKJACKET,unused,,,,,,
252,specialty_exo_creature,PERKS_EXO_CREATURE,specialty_s1_temp,PERKS_DESC_FLAKJACKET,unused,,,,,,
perk0,0.3333,0.4941,0.6196,,,,,,,,
perk1,0.5255,0.5686,0.3804,,,,,,,,
perk2,0.6196,0.3373,0.3373,,,,,,,,
perk3,1,0.5,0,,,,,,,,
equipment,1,0.8,0.4,,,,,,,,
upgrade0,1,0.8,0.4,,,,,,,,
upgrade1,1,0.8,0.4,,,,,,,,
upgrade2,1,0.8,0.4,,,,,,,,
