a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,p16,r17,s18,t19,u20,v21,w22,x23,y24,z25,aa26,bb27,cc28,dd29,ee30,ff31,gg32,hh33,ii34,jj35,kk36,ll37,mm38,mm39,nn40,oo41,pp42,qq43,rr44,ss45,tt46,uu47,vv48,ww49,xx50,yy51,zz52,aaa53,bbb54,ccc55,ddd56,eee57,fff58,ggg59,hhh60,iii61,jjj62,kkk63,lll64,mmm65
165,3283,weapon_pistol,WEAPON_PBWLOOT1,iw5_pbwloot1,,weapon_pbw_loot1,WEAPON_PBW_DESC,10,weapon_stow_mid_up,,opticsreddot,opticseotech,opticstargetenhancer,opticsacog2,lasersight,tactical,akimbo,silencer01,parabolicmicrophone,longrange,xmags,,,,,,,,,,,,,,,,,,,,6,6,11,5,12,10,,,0x1000091,,,loot,1,,0,0,run_and_gun|cqb|camper,hardened|veteran,pbw,0,1,,,1,
166,3284,weapon_pistol,WEAPON_PBWLOOT2,iw5_pbwloot2,,weapon_pbw_loot2,WEAPON_PBW_DESC,10,weapon_stow_mid_up,,opticsreddot,opticseotech,opticstargetenhancer,opticsacog2,lasersight,tactical,akimbo,silencer01,parabolicmicrophone,longrange,xmags,,,,,,,,,,,,,,,,,,,,6,5,11,6,12,10,,,0x1000092,,,loot,1,,0,0,run_and_gun|cqb|camper,hardened|veteran,pbw,0,1,,,1,
167,3285,weapon_pistol,WEAPON_PBWLOOT3,iw5_pbwloot3,,weapon_pbw_loot3,WEAPON_PBW_DESC,10,weapon_stow_mid_up,,opticsreddot,opticseotech,opticstargetenhancer,opticsacog2,lasersight,tactical,akimbo,silencer01,parabolicmicrophone,longrange,xmags,,,,,,,,,,,,,,,,,,,,5,6,11,6,12,10,,,0x1000093,,,loot,1,,0,0,run_and_gun|cqb|camper,hardened|veteran,pbw,4,1,,,1,
168,3286,weapon_pistol,WEAPON_PBWLOOT4,iw5_pbwloot4,,weapon_pbw_loot4,WEAPON_PBW_DESC,10,weapon_stow_mid_up,,opticsreddot,opticseotech,opticstargetenhancer,opticsacog2,lasersight,tactical,akimbo,silencer01,parabolicmicrophone,longrange,xmags,,,,,,,,,,,,,,,,,,,,6,6,12,6,12,8,,,0x1000094,,,challenge,1,,0,0,run_and_gun|cqb|camper,hardened|veteran,pbw,1,,,,,
169,3287,weapon_pistol,WEAPON_PBWLOOT5,iw5_pbwloot5,,weapon_pbw_loot5,WEAPON_PBW_DESC,10,weapon_stow_mid_up,,opticsreddot,opticseotech,opticstargetenhancer,opticsacog2,tactical,akimbo,silencer01,longrange,xmags,,,,,,,,,,,,,,,,,,,,,lasersight,7,6,10,6,12,9,,,0x1000095,,,loot,1,,0,0,run_and_gun|cqb|camper,hardened|veteran,pbw,1,1,,,1,
170,3288,weapon_pistol,WEAPON_PBWLOOT6,iw5_pbwloot6,,weapon_pbw_loot6,WEAPON_PBW_DESC,10,weapon_stow_mid_up,,lasersight,silencer01,parabolicmicrophone,longrange,xmags,,,,,,,,,,,,,,,,,,,,,,,,,akimbo,5,6,10,7,12,10,,,0x1000096,,,loot,1,,0,0,run_and_gun|cqb|camper,hardened|veteran,pbw,1,1,,,1,
171,3289,weapon_pistol,WEAPON_PBWLOOT7,iw5_pbwloot7,,weapon_pbw_loot7,WEAPON_PBW_DESC,10,weapon_stow_mid_up,,lasersight,tactical,akimbo,silencer01,parabolicmicrophone,longrange,xmags,,,,,,,,,,,,,,,,,,,,,,,opticsreddot,5,6,10,6,12,11,,,0x1000097,,,loot,1,,0,0,run_and_gun|cqb|camper,hardened|veteran,pbw,1,1,,,1,
172,3290,weapon_pistol,WEAPON_PBWLOOT8,iw5_pbwloot8,,weapon_pbw_loot8,WEAPON_PBW_DESC,10,weapon_stow_mid_up,,opticsreddot,opticseotech,opticstargetenhancer,opticsacog2,lasersight,tactical,akimbo,silencer01,parabolicmicrophone,longrange,xmags,,,,,,,,,,,,,,,,,,,,5,5,13,6,12,9,,,0x1000098,,,loot,1,,0,0,run_and_gun|cqb|camper,veteran,pbw,2,1,,,1,
173,3291,weapon_pistol,WEAPON_PBWLOOT9,iw5_pbwloot9,,weapon_pbw_loot9,WEAPON_PBW_DESC,10,weapon_stow_mid_up,,lasersight,tactical,akimbo,silencer01,parabolicmicrophone,longrange,xmags,,,,,,,,,,,,,,,,,,,,,,,opticsacog2,6,5,12,6,12,9,,,0x1000099,,,loot,1,,0,0,run_and_gun|cqb|camper,veteran,pbw,2,1,,,1,
174,3280,,MENU_NONE,specialty_null,,specialty_ks_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
175,3281,,MENU_NONE,none,,weapon_missing_image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
176,3292,,,turretheadmg,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
177,3293,,,turretheadenergy,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
178,3294,,,turretheadrocket,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
179,3295,weapon_shotgun,WEAPON_870GLOOT0,iw5_maulloot0,,weapon_maul_loot0,WEAPON_870G_DESC,9,,,opticsreddot,opticstargetenhancer,lasersight,stock,foregrip,silencer01,parabolicmicrophone,longrange,quickdraw,xmags,,,,,,,,,,,,,,,,,,,,,4,20,3,6,12,15,5,4,0x100009C,,,loot,1,,0,0,cqb,hardened|veteran,maul,0,1,,,1,
180,3296,weapon_shotgun,WEAPON_870GLOOT1,iw5_maulloot1,,weapon_maul_loot1,WEAPON_870G_DESC,10,,,opticsreddot,opticstargetenhancer,lasersight,stock,foregrip,silencer01,parabolicmicrophone,longrange,quickdraw,xmags,,,,,,,,,,,,,,,,,,,,,4,18,4,6,12,16,5,4,0x100009D,,,loot,1,,0,0,cqb,hardened|veteran,maul,0,1,,,1,
181,3297,weapon_shotgun,WEAPON_870GLOOT2,iw5_maulloot2,,weapon_maul_loot2,WEAPON_870G_DESC,10,,,opticsreddot,opticstargetenhancer,lasersight,stock,foregrip,silencer01,parabolicmicrophone,longrange,quickdraw,xmags,,,,,,,,,,,,,,,,,,,,,4,19,5,5,12,15,5,4,0x100009E,,,loot,1,,0,0,cqb,hardened|veteran,maul,0,1,,,1,
182,3298,weapon_shotgun,WEAPON_870GLOOT3,iw5_maulloot3,,weapon_maul_loot3,WEAPON_870G_DESC,10,,,opticsreddot,opticstargetenhancer,lasersight,stock,foregrip,silencer01,parabolicmicrophone,longrange,quickdraw,xmags,,,,,,,,,,,,,,,,,,,,,4,19,4,6,11,16,5,4,0x100009F,,,loot,1,,0,0,cqb,hardened|veteran,maul,0,1,,,1,
183,3299,weapon_shotgun,WEAPON_870GLOOT4,iw5_maulloot4,,weapon_maul_loot4,WEAPON_870G_DESC,10,,,opticsreddot,opticstargetenhancer,lasersight,stock,foregrip,silencer01,parabolicmicrophone,longrange,quickdraw,xmags,,,,,,,,,,,,,,,,,,,,,4,20,4,6,12,16,4,3,0x10000A0,,,loot,1,,0,0,cqb,hardened|veteran,maul,1,1,,,1,
184,3300,weapon_shotgun,WEAPON_870GLOOT5,iw5_maulloot5,,weapon_maul_loot5,WEAPON_870G_DESC,10,,,opticsreddot,opticstargetenhancer,lasersight,stock,foregrip,silencer01,parabolicmicrophone,longrange,quickdraw,xmags,,,,,,,,,,,,,,,,,,,,,4,17,4,6,12,17,5,4,0x10000A1,,,challenge,1,,0,0,cqb,hardened|veteran,maul,1,,,,,
185,3301,weapon_shotgun,WEAPON_870GLOOT6,iw5_maulloot6,,weapon_maul_loot6,WEAPON_870G_DESC,10,,,opticsreddot,opticstargetenhancer,lasersight,stock,silencer01,parabolicmicrophone,longrange,quickdraw,xmags,,,,,,,,,,,,,,,,,,,,,foregrip,5,18,4,6,12,15,5,4,0x10000A2,,,loot,1,,0,0,cqb,hardened|veteran,maul,1,1,,,1,
186,3302,weapon_shotgun,WEAPON_870GLOOT7,iw5_maulloot7,,weapon_maul_loot7,WEAPON_870G_DESC,10,,,opticsreddot,opticstargetenhancer,lasersight,stock,foregrip,silencer01,parabolicmicrophone,longrange,quickdraw,xmags,,,,,,,,,,,,,,,,,,,,,6,18,4,5,12,15,5,4,0x10000A3,,,loot,1,,0,0,cqb,hardened|veteran,maul,1,1,,,1,
187,3303,weapon_shotgun,WEAPON_870GLOOT8,iw5_maulloot8,,weapon_maul_loot8,WEAPON_870G_DESC,10,,,lasersight,stock,foregrip,silencer01,parabolicmicrophone,longrange,quickdraw,xmags,,,,,,,,,,,,,,,,,,,,,,,6,20,4,6,12,14,5,4,0x10000A4,,,loot,1,,0,0,cqb,veteran,maul,2,1,,,1,
188,3304,weapon_shotgun,WEAPON_870GLOOT9,iw5_maulloot9,,weapon_maul_loot9,WEAPON_870G_DESC,10,,,lasersight,stock,foregrip,silencer01,parabolicmicrophone,longrange,quickdraw,xmags,,,,,,,,,,,,,,,,,,,,,,opticstargetenhancer,5,19,4,6,12,15,5,4,0x10000A5,,,loot,1,,0,0,cqb,veteran,maul,2,1,,,1,
189,3305,weapon_sniper,WEAPON_GM6LOOT0,iw5_gm6loot0,,weapon_gm6_loot0,WEAPON_GM6_DESC,9,weapon_stow_mid_up,,scopevz,opticsthermal,opticsacog2,stabilizer,stock,trackrounds,silencer01,parabolicmicrophone,ironsights,xmags,,,,,,,,,,,,,,,,,,,,,11,14,19,4,8,4,5,4,0x10000A6,,,loot,1,,0,0,camper,regular|hardened|veteran,gm6,0,1,,,1,
190,3306,weapon_sniper,WEAPON_GM6LOOT1,iw5_gm6loot1,,weapon_gm6_loot1,WEAPON_GM6_DESC,9,weapon_stow_mid_up,,scopevz,opticsthermal,opticsacog2,stabilizer,stock,trackrounds,silencer01,parabolicmicrophone,ironsights,xmags,,,,,,,,,,,,,,,,,,,,,10,14,19,5,8,5,5,3,0x10000A7,,,loot,1,,0,0,camper,regular|hardened|veteran,gm6,0,1,,,1,
191,3307,weapon_sniper,WEAPON_GM6LOOT2,iw5_gm6loot2,,weapon_gm6_loot2,WEAPON_GM6_DESC,9,weapon_stow_mid_up,,scopevz,opticsthermal,opticsacog2,stabilizer,stock,trackrounds,silencer01,parabolicmicrophone,ironsights,xmags,,,,,,,,,,,,,,,,,,,,,10,14,19,6,8,3,5,4,0x10000A8,,,loot,1,,0,0,camper,regular|hardened|veteran,gm6,0,1,,,1,
192,3308,weapon_sniper,WEAPON_GM6LOOT3,iw5_gm6loot3,,weapon_gm6_loot3,WEAPON_GM6_DESC,9,weapon_stow_mid_up,,scopevz,opticsthermal,opticsacog2,stabilizer,stock,trackrounds,silencer01,parabolicmicrophone,ironsights,xmags,,,,,,,,,,,,,,,,,,,,,10,14,19,4,9,4,5,4,0x10000A9,,,loot,1,,0,0,camper,regular|hardened|veteran,gm6,0,1,,,1,
193,3309,weapon_sniper,WEAPON_GM6LOOT4,iw5_gm6loot4,,weapon_gm6_loot4,WEAPON_GM6_DESC,9,weapon_stow_mid_up,,stabilizer,stock,trackrounds,silencer01,parabolicmicrophone,xmags,,,,,,,,,,,,,,,,,,,,,,,,scopevz,8,14,19,5,8,4,5,4,0x10000AA,,,loot,1,,0,0,camper,hardened|veteran,gm6,1,1,,,1,
194,3410,weapon_sniper,WEAPON_GM6LOOT5,iw5_gm6loot5,,weapon_gm6_loot5,WEAPON_GM6_DESC,9,weapon_stow_mid_up,,scopevz,opticsthermal,opticsacog2,stabilizer,stock,trackrounds,silencer01,parabolicmicrophone,ironsights,xmags,,,,,,,,,,,,,,,,,,,,,10,14,19,4,7,6,5,4,0x10000AB,,,challenge,1,,0,0,camper,hardened|veteran,gm6,1,,,,,
195,3411,weapon_sniper,WEAPON_GM6LOOT6,iw5_gm6loot6,,weapon_gm6_loot6,WEAPON_GM6_DESC,9,weapon_stow_mid_up,,scopevz,opticsthermal,opticsacog2,stabilizer,stock,trackrounds,silencer01,parabolicmicrophone,ironsights,xmags,,,,,,,,,,,,,,,,,,,,,12,14,19,4,8,3,5,4,0x10000AC,,,loot,1,,0,0,camper,hardened|veteran,gm6,1,1,,,1,
196,3412,weapon_sniper,WEAPON_GM6LOOT7,iw5_gm6loot7,,weapon_gm6_loot7,WEAPON_GM6_DESC,9,weapon_stow_mid_up,,scopevz,opticsthermal,opticsacog2,stabilizer,stock,trackrounds,silencer01,parabolicmicrophone,ironsights,xmags,,,,,,,,,,,,,,,,,,,,,8,14,19,5,8,6,5,4,0x10000AD,,,loot,1,,0,0,camper,hardened|veteran,gm6,1,1,,,1,
197,3413,weapon_sniper,WEAPON_GM6LOOT8,iw5_gm6loot8,,weapon_gm6_loot8,WEAPON_GM6_DESC,9,weapon_stow_mid_up,,scopevz,opticsthermal,opticsacog2,stabilizer,stock,silencer01,ironsights,xmags,,,,,,,,,,,,,,,,,,,,,,parabolicmicrophone,9,13,19,5,8,4,5,4,0x10000AE,,,loot,1,,0,0,camper,veteran,gm6,2,1,,,1,
198,3415,weapon_sniper,WEAPON_GM6LOOT9,iw5_gm6loot9,,weapon_gm6_loot9,WEAPON_GM6_DESC,9,weapon_stow_mid_up,,scopevz,opticsthermal,opticsacog2,stabilizer,stock,trackrounds,silencer01,parabolicmicrophone,ironsights,xmags,,,,,,,,,,,,,,,,,,,,,13,13,19,4,8,3,5,4,0x10000AF,,,loot,1,,0,0,camper,veteran,gm6,2,1,,,1,
199,3416,weapon_pistol,WEAPON_VBRLOOT0,iw5_vbrloot0,,weapon_vbr_loot0,WEAPON_VBR_DESC,10,weapon_stow_mid_up,,opticsreddot,opticseotech,opticstargetenhancer,opticsacog2,tactical,akimbo,silencer01,longrange,xmags,,,,,,,,,,,,,,,,,,,,,,5,6,5,13,12,9,5,4,0x10000B0,,,loot,1,,0,0,run_and_gun|cqb|camper,veteran,vbr,4,1,,,1,
200,3417,weapon_pistol,WEAPON_VBRLOOT1,iw5_vbrloot1,,weapon_vbr_loot1,WEAPON_VBR_DESC,10,weapon_stow_mid_up,,opticsreddot,opticseotech,opticstargetenhancer,opticsacog2,tactical,akimbo,silencer01,longrange,xmags,,,,,,,,,,,,,,,,,,,,,,6,5,5,13,12,9,5,4,0x10000B1,,,loot,1,,0,0,run_and_gun|cqb|camper,veteran,vbr,0,1,,,1,
201,3418,weapon_pistol,WEAPON_VBRLOOT2,iw5_vbrloot2,,weapon_vbr_loot2,WEAPON_VBR_DESC,10,weapon_stow_mid_up,,opticsreddot,opticseotech,opticstargetenhancer,opticsacog2,tactical,akimbo,silencer01,longrange,xmags,,,,,,,,,,,,,,,,,,,,,,6,6,4,13,12,9,5,4,0x10000B2,,,loot,1,,0,0,run_and_gun|cqb|camper,veteran,vbr,0,1,,,1,
202,3419,weapon_pistol,WEAPON_VBRLOOT3,iw5_vbrloot3,,weapon_vbr_loot3,WEAPON_VBR_DESC,10,weapon_stow_mid_up,,opticsreddot,opticseotech,opticstargetenhancer,opticsacog2,tactical,akimbo,silencer01,longrange,xmags,,,,,,,,,,,,,,,,,,,,,,6,6,5,13,12,8,5,4,0x10000B3,,,loot,1,,0,0,run_and_gun|cqb|camper,veteran,vbr,0,1,,,1,
203,3420,weapon_pistol,WEAPON_VBRLOOT4,iw5_vbrloot4,,weapon_vbr_loot4,WEAPON_VBR_DESC,10,weapon_stow_mid_up,,tactical,akimbo,silencer01,longrange,xmags,,,,,,,,,,,,,,,,,,,,,,,,,opticsacog2,6,6,4,13,12,9,5,4,0x10000B4,,,loot,1,,0,0,run_and_gun|cqb|camper,veteran,vbr,1,1,,,1,
204,3421,weapon_pistol,WEAPON_VBRLOOT5,iw5_vbrloot5,,weapon_vbr_loot5,WEAPON_VBR_DESC,10,weapon_stow_mid_up,,tactical,akimbo,silencer01,longrange,xmags,,,,,,,,,,,,,,,,,,,,,,,,,opticsreddot,7,6,5,12,12,8,5,4,0x10000B5,,,loot,1,,0,0,run_and_gun|cqb|camper,veteran,vbr,1,1,,,1,
205,3422,weapon_pistol,WEAPON_VBRLOOT6,iw5_vbrloot6,,weapon_vbr_loot6,WEAPON_VBR_DESC,10,weapon_stow_mid_up,,opticsreddot,opticseotech,opticstargetenhancer,opticsacog2,tactical,akimbo,silencer01,longrange,xmags,,,,,,,,,,,,,,,,,,,,,,6,6,5,14,12,7,5,4,0x10000B6,,,challenge,1,,0,0,run_and_gun|cqb|camper,veteran,vbr,1,,,,,
206,3423,weapon_pistol,WEAPON_VBRLOOT7,iw5_vbrloot7,,weapon_vbr_loot7,WEAPON_VBR_DESC,10,weapon_stow_mid_up,,opticsreddot,opticseotech,opticstargetenhancer,opticsacog2,tactical,akimbo,silencer01,longrange,xmags,,,,,,,,,,,,,,,,,,,,,,6,4,6,13,12,9,5,4,0x10000B7,,,loot,1,,0,0,run_and_gun|cqb|camper,veteran,vbr,1,1,,,1,
207,3424,weapon_pistol,WEAPON_VBRLOOT8,iw5_vbrloot8,,weapon_vbr_loot8,WEAPON_VBR_DESC,10,weapon_stow_mid_up,,opticsreddot,opticseotech,opticstargetenhancer,opticsacog2,tactical,akimbo,silencer01,longrange,xmags,,,,,,,,,,,,,,,,,,,,,,5,5,4,15,12,9,5,4,0x10000B8,,,loot,1,,0,0,run_and_gun|cqb|camper,veteran,vbr,2,1,,,1,
208,3425,weapon_pistol,WEAPON_VBRLOOT9,iw5_vbrloot9,,weapon_vbr_loot9,WEAPON_VBR_DESC,10,weapon_stow_mid_up,,opticsreddot,opticseotech,opticstargetenhancer,opticsacog2,tactical,akimbo,silencer01,longrange,xmags,,,,,,,,,,,,,,,,,,,,,,6,4,5,14,12,8,5,5,0x10000B9,,,loot,1,,0,0,run_and_gun|cqb|camper,veteran,vbr,2,1,,,1,
209,3426,weapon_assault,WEAPON_ARX160LOOT0,iw5_arx160loot0,,weapon_arx160_loot0,WEAPON_ARX160_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,11,9,14,10,9,7,,,0x10000BA,,,loot,1,,0,0,run_and_gun,regular|hardened|veteran,arx160,0,1,,,1,
210,3427,weapon_assault,WEAPON_ARX160LOOT1,iw5_arx160loot1,,weapon_arx160_loot1,WEAPON_ARX160_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,10,9,13,10,9,9,,,0x10000BB,,,loot,1,,0,0,run_and_gun,regular|hardened|veteran,arx160,0,1,,,1,
211,3428,weapon_assault,WEAPON_ARX160LOOT2,iw5_arx160loot2,,weapon_arx160_loot2,WEAPON_ARX160_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,11,9,13,11,8,8,,,0x10000BC,,,loot,1,,0,0,run_and_gun,regular|hardened|veteran,arx160,0,1,,,1,
212,3429,weapon_assault,WEAPON_ARX160LOOT3,iw5_arx160loot3,,weapon_arx160_loot3,WEAPON_ARX160_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,10,9,14,10,9,8,,,0x10000BD,,,loot,1,,0,0,run_and_gun,regular|hardened|veteran,arx160,0,1,,,1,
213,3430,weapon_assault,WEAPON_ARX160LOOT4,iw5_arx160loot4,,weapon_arx160_loot4,WEAPON_ARX160_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,12,8,13,11,8,8,,,0x10000BE,,,challenge,1,,0,0,run_and_gun,hardened|veteran,arx160,1,,,,,
214,3431,weapon_assault,WEAPON_ARX160LOOT5,iw5_arx160loot5,,weapon_arx160_loot5,WEAPON_ARX160_DESC,9,weapon_stow_mid_up,,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,,,,,,,12,9,14,9,9,8,,,0x10000BF,,,loot,1,,0,0,run_and_gun,hardened|veteran,arx160,1,1,,,1,
215,3432,weapon_assault,WEAPON_ARX160LOOT6,iw5_arx160loot6,,weapon_arx160_loot6,WEAPON_ARX160_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,11,9,15,8,9,8,,,0x10000C0,,,loot,1,,0,0,run_and_gun,hardened|veteran,arx160,1,1,,,1,
216,3433,weapon_assault,WEAPON_ARX160LOOT7,iw5_arx160loot7,,weapon_arx160_loot7,WEAPON_ARX160_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,10,11,13,10,9,7,,,0x10000C1,,,loot,1,,0,0,run_and_gun,hardened|veteran,arx160,1,1,,,1,
217,3434,weapon_assault,WEAPON_ARX160LOOT8,iw5_arx160loot8,,weapon_arx160_loot8,WEAPON_ARX160_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,9,12,13,9,9,8,,,0x10000C2,,,loot,1,,0,0,run_and_gun,veteran,arx160,2,1,,,1,
218,3435,weapon_assault,WEAPON_ARX160LOOT9,iw5_arx160loot9,,weapon_arx160_loot9,WEAPON_ARX160_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,13,8,14,9,9,7,,,0x10000C3,,,loot,1,,0,0,run_and_gun,veteran,arx160,2,1,,,1,
219,3436,weapon_assault,WEAPON_M182SPRLOOT0,iw5_m182sprloot0,,weapon_m182spr_loot0,WEAPON_M182SPR_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,12,11,10,6,10,9,5,5,0x10000C4,,,loot,1,,0,0,run_and_gun,veteran,m182spr,0,1,,,1,
220,3437,weapon_assault,WEAPON_M182SPRLOOT1,iw5_m182sprloot1,,weapon_m182spr_loot1,WEAPON_M182SPR_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,12,12,10,7,10,8,5,4,0x10000C5,,,loot,1,,0,0,run_and_gun,veteran,m182spr,0,1,,,1,
221,3438,weapon_assault,WEAPON_M182SPRLOOT2,iw5_m182sprloot2,,weapon_m182spr_loot2,WEAPON_M182SPR_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,13,11,9,7,10,9,5,4,0x10000C6,,,loot,1,,0,0,run_and_gun,veteran,m182spr,0,1,,,1,
222,3439,weapon_assault,WEAPON_M182SPRLOOT3,iw5_m182sprloot3,,weapon_m182spr_loot3,WEAPON_M182SPR_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,12,11,10,8,10,9,4,4,0x10000C7,,,loot,1,,0,0,run_and_gun,veteran,m182spr,0,1,,,1,
223,3440,weapon_assault,WEAPON_M182SPRLOOT4,iw5_m182sprloot4,,weapon_m182spr_loot4,WEAPON_M182SPR_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,14,11,10,7,10,7,5,4,0x10000C8,,,challenge,1,,0,0,run_and_gun,veteran,m182spr,1,,,,,
224,3441,weapon_assault,WEAPON_M182SPRLOOT5,iw5_m182sprloot5,,weapon_m182spr_loot5,WEAPON_M182SPR_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,12,11,8,7,10,11,5,4,0x10000C9,,,loot,1,,0,0,run_and_gun,veteran,m182spr,1,1,,,1,
225,3442,weapon_assault,WEAPON_M182SPRLOOT6,iw5_m182sprloot6,,weapon_m182spr_loot6,WEAPON_M182SPR_DESC,9,weapon_stow_mid_up,,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,,,,,,opticstargetenhancer,12,11,9,7,10,9,5,4,0x10000CA,,,loot,1,,0,0,run_and_gun,veteran,m182spr,1,1,,,1,
226,3443,weapon_assault,WEAPON_M182SPRLOOT7,iw5_m182sprloot7,,weapon_m182spr_loot7,WEAPON_M182SPR_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,12,11,10,9,8,9,5,4,0x10000CB,,,loot,1,,0,0,run_and_gun,veteran,m182spr,1,1,,,1,
227,3444,weapon_assault,WEAPON_M182SPRLOOT8,iw5_m182sprloot8,,weapon_m182spr_loot8,WEAPON_M182SPR_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,14,12,10,6,10,7,5,4,0x10000CC,,,loot,1,,0,0,run_and_gun,veteran,m182spr,2,1,,,1,
